Year,Product Name,Profit,Loss,Total Sale,Total Manufacturing,Remaining Products,Total No of Workers,Salary of Workers,Raw Material Cost,Production Cost
2023,Kurta,70924,0.0,141848,70924,50,218,1090000,36622,19003
2022,Dupatta,48842,0.0,97684,48842,86,225,1125000,39844,20112
2022,Shirt,0,13285.0,65459,65459,129,108,540000,29213,25225
2021,Pants,85382,0.0,170764,85382,99,276,1380000,10227,25915
2020,Pants,0,22029.0,89506,89506,75,253,1265000,26388,28259
2023,Kurta,31170,0.0,62340,31170,140,148,740000,22444,25967
2021,Shirt,64942,0.0,129884,64942,99,141,705000,21521,19432
2023,Pants,36208,0.0,72416,36208,72,272,1360000,45845,24516
2023,Shirt,55178,0.0,110356,55178,136,213,1065000,41947,21262
2021,Dupatta,99172,0.0,198344,99172,81,176,880000,36901,15536
2021,Kurta,0,22846.0,66601,66601,139,248,1240000,13971,27068
2021,Pants,34990,0.0,69980,34990,52,256,1280000,11004,28623
2021,Dupatta,26441,0.0,52882,26441,53,191,955000,18002,24429
2021,Saree,94221,0.0,188442,94221,97,251,1255000,46428,10898
2023,Saree,0,23079.0,58940,58940,140,219,1095000,35570,19879
2021,Kurta,0,18551.0,86988,86988,146,269,1345000,49257,16814
2020,Pants,46862,0.0,93724,46862,79,183,915000,25475,15446
2022,Pants,47273,0.0,94546,47273,104,202,1010000,14708,11831
2021,Pants,62500,0.0,125000,62500,44,170,850000,16087,15584
2021,Shirt,23956,0.0,47912,23956,69,268,1340000,33201,12481
2023,Dupatta,92089,0.0,184178,92089,121,147,735000,32840,22617
2021,Pants,22365,0.0,44730,22365,84,178,890000,28309,16164
2021,Dupatta,92204,0.0,184408,92204,140,176,880000,15702,10617
2021,Kurta,25000,0.0,50000,25000,97,142,710000,34748,23032
2023,Pants,77072,0.0,154144,77072,78,107,535000,19318,27472
2021,Kurta,72499,0.0,144998,72499,51,162,810000,10227,18340
2022,Pants,89211,0.0,178422,89211,73,219,1095000,33684,15302
2023,Saree,32907,0.0,65814,32907,148,162,810000,46411,17886
2022,Lehenga,37336,0.0,74672,37336,53,105,525000,36562,17789
2023,Kurta,0,43052.0,74776,74776,77,173,865000,13728,26496
2021,Pants,0,25100.0,81745,81745,55,151,755000,19426,15332
2022,Lehenga,88783,0.0,177566,88783,145,120,600000,47996,19261
2023,Kurta,0,13277.0,69005,69005,100,241,1205000,21958,20685
2020,Shirt,72509,0.0,145018,72509,98,215,1075000,30099,19285
2021,Pants,0,29015.0,87907,87907,114,157,785000,14521,28613
2023,Shirt,42380,0.0,84760,42380,136,252,1260000,41661,22163
2020,Saree,47280,0.0,94560,47280,118,155,775000,28505,19172
2023,Pants,0,11757.0,81702,81702,145,182,910000,33647,28741
2020,Saree,68402,0.0,136804,68402,113,108,540000,39042,17092
2021,Lehenga,28262,0.0,56524,28262,106,263,1315000,32928,16059
2022,Kurta,31066,0.0,62132,31066,50,284,1420000,22927,16751
2020,Dupatta,35554,0.0,71108,35554,50,232,1160000,40207,29435
2023,Saree,0,42085.0,50721,50721,55,180,900000,25864,15239
2021,Dupatta,36238,0.0,72476,36238,77,193,965000,39702,14093
2020,Dupatta,37153,0.0,74306,37153,69,234,1170000,47600,14485
2023,Kurta,79353,0.0,158706,79353,80,233,1165000,41155,29365
2023,Lehenga,72092,0.0,144184,72092,40,151,755000,23427,22576
2023,Kurta,0,31863.0,91911,91911,77,297,1485000,13174,22854
2020,Pants,69104,0.0,138208,69104,148,205,1025000,35313,13964
2020,Saree,44283,0.0,88566,44283,137,154,770000,22852,14860
2020,Dupatta,0,36098.0,84649,84649,99,113,565000,27410,11123
2022,Kurta,97223,0.0,194446,97223,58,228,1140000,31023,19243
2020,Kurta,74957,0.0,149914,74957,137,264,1320000,43871,27199
2020,Kurta,0,25295.0,71565,71565,98,148,740000,29067,24650
2020,Saree,66172,0.0,132344,66172,139,239,1195000,14944,27362
2022,Lehenga,24355,0.0,48710,24355,107,232,1160000,16964,12858
2020,Kurta,53701,0.0,107402,53701,49,169,845000,18587,27066
2023,Saree,61534,0.0,123068,61534,56,215,1075000,21131,13655
2020,Dupatta,91442,0.0,182884,91442,119,218,1090000,21523,10780
2023,Pants,81274,0.0,162548,81274,124,238,1190000,40007,11442
2023,Shirt,0,48555.0,68704,68704,131,280,1400000,33761,25066
2023,Saree,32279,0.0,64558,32279,111,282,1410000,41028,17818
2022,Shirt,63491,0.0,126982,63491,68,178,890000,44632,14500
2022,Kurta,96147,0.0,192294,96147,45,149,745000,20466,29143
2022,Kurta,28261,0.0,56522,28261,133,280,1400000,30828,20393
2020,Saree,24474,0.0,48948,24474,105,224,1120000,36736,20453
2023,Shirt,48390,0.0,96780,48390,102,154,770000,36899,13120
2022,Kurta,46925,0.0,93850,46925,70,191,955000,13433,12545
2022,Dupatta,79051,0.0,158102,79051,64,102,510000,39397,26217
2020,Lehenga,24787,0.0,49574,24787,126,219,1095000,28453,15875
2022,Lehenga,93398,0.0,186796,93398,146,243,1215000,22672,12828
2020,Kurta,78177,0.0,156354,78177,60,272,1360000,15140,24758
2021,Shirt,63724,0.0,127448,63724,55,180,900000,23999,27846
2022,Pants,30663,0.0,61326,30663,43,263,1315000,23778,17942
2021,Kurta,0,35821.0,89718,89718,146,118,590000,27863,24579
2020,Pants,42740,0.0,85480,42740,85,231,1155000,25108,10553
2023,Pants,22035,0.0,44070,22035,47,158,790000,25350,20764
2022,Shirt,77443,0.0,154886,77443,45,188,940000,37511,18907
2020,Pants,87388,0.0,174776,87388,92,239,1195000,44471,13389
2023,Dupatta,0,31833.0,59968,59968,103,162,810000,47084,21934
2023,Shirt,63315,0.0,126630,63315,130,283,1415000,47454,15319
2021,Kurta,84165,0.0,168330,84165,90,126,630000,47676,23604
2020,Dupatta,66627,0.0,133254,66627,139,295,1475000,13230,24615
2023,Saree,28303,0.0,56606,28303,139,224,1120000,34718,13651
2022,Lehenga,69334,0.0,138668,69334,102,251,1255000,44617,29519
2022,Kurta,75892,0.0,151784,75892,127,253,1265000,14020,15263
2021,Kurta,81196,0.0,162392,81196,45,121,605000,26834,21025
2023,Kurta,0,35992.0,65098,65098,101,169,845000,11259,23891
2020,Dupatta,59726,0.0,119452,59726,146,118,590000,19195,17402
2022,Saree,95751,0.0,191502,95751,72,200,1000000,14777,13495
2023,Shirt,0,18549.0,58890,58890,41,261,1305000,39989,27721
2023,Saree,50694,0.0,101388,50694,80,238,1190000,37927,26172
2021,Dupatta,51253,0.0,102506,51253,55,219,1095000,28380,16196
2022,Kurta,44230,0.0,88460,44230,141,187,935000,38250,20613
2022,Lehenga,73974,0.0,147948,73974,98,272,1360000,47656,13011
2020,Kurta,83545,0.0,167090,83545,48,136,680000,33520,29043
2022,Shirt,36925,0.0,73850,36925,108,250,1250000,21224,19356
2020,Pants,26033,0.0,52066,26033,49,267,1335000,27878,23234
2022,Lehenga,82461,0.0,164922,82461,133,270,1350000,35648,12735
2021,Kurta,22665,0.0,45330,22665,46,103,515000,22304,15307
2022,Lehenga,47025,0.0,94050,47025,132,181,905000,11578,14813
2020,Pants,43533,0.0,87066,43533,105,114,570000,36315,22910
2020,Saree,0,32432.0,50621,50621,59,250,1250000,23004,16597
2021,Dupatta,97661,0.0,195322,97661,102,239,1195000,33377,10178
2022,Kurta,0,49498.0,79657,79657,43,167,835000,37541,27421
2022,Shirt,81248,0.0,162496,81248,67,167,835000,41806,14805
2021,Saree,43057,0.0,86114,43057,111,279,1395000,27943,20749
2022,Kurta,99244,0.0,198488,99244,74,268,1340000,17888,16331
2022,Saree,0,30519.0,66843,66843,41,204,1020000,14575,13568
2020,Shirt,87173,0.0,174346,87173,80,158,790000,13856,14423
2022,Kurta,58734,0.0,117468,58734,67,157,785000,36287,23004
2022,Pants,82072,0.0,164144,82072,114,219,1095000,14139,13986
2021,Pants,84175,0.0,168350,84175,139,286,1430000,34216,29697
2021,Shirt,83783,0.0,167566,83783,112,299,1495000,46295,16240
2023,Lehenga,90739,0.0,181478,90739,141,250,1250000,23162,24188
2020,Shirt,71042,0.0,142084,71042,40,228,1140000,15819,23088
2022,Lehenga,72357,0.0,144714,72357,66,155,775000,46636,10309
2022,Kurta,28669,0.0,57338,28669,106,103,515000,39707,17277
2023,Lehenga,87902,0.0,175804,87902,78,128,640000,25230,19893
2022,Kurta,38910,0.0,77820,38910,112,116,580000,38220,18997
2020,Kurta,76959,0.0,153918,76959,79,276,1380000,36736,22211
2023,Dupatta,0,13141.0,75660,75660,67,150,750000,32123,11892
2020,Kurta,68415,0.0,136830,68415,124,276,1380000,19693,19518
2023,Lehenga,29907,0.0,59814,29907,131,123,615000,43582,11917
2023,Dupatta,52780,0.0,105560,52780,148,143,715000,17584,16499
2021,Dupatta,77879,0.0,155758,77879,63,215,1075000,23378,23878
2020,Kurta,55085,0.0,110170,55085,121,268,1340000,24655,22602
2022,Shirt,85499,0.0,170998,85499,90,156,780000,21517,12241
2022,Shirt,0,21068.0,74875,74875,95,283,1415000,11323,28357
2020,Pants,68197,0.0,136394,68197,112,131,655000,34580,22232
2022,Dupatta,0,41342.0,65698,65698,65,258,1290000,38093,13978
2022,Kurta,69527,0.0,139054,69527,127,243,1215000,19450,11315
2020,Shirt,84600,0.0,169200,84600,91,259,1295000,12034,25913
2023,Kurta,88748,0.0,177496,88748,45,207,1035000,32974,25458
2020,Kurta,0,24256.0,76006,76006,98,141,705000,15966,23266
2023,Dupatta,47799,0.0,95598,47799,51,221,1105000,40717,16795
2022,Pants,66339,0.0,132678,66339,102,133,665000,11705,16548
2022,Dupatta,0,42964.0,74525,74525,75,264,1320000,38517,25499
2022,Saree,0,15830.0,88143,88143,48,243,1215000,13758,27783
2021,Shirt,70460,0.0,140920,70460,113,184,920000,29227,27756
2023,Shirt,0,25868.0,73696,73696,106,240,1200000,44964,23734
2021,Shirt,34877,0.0,69754,34877,68,221,1105000,42027,19448
2021,Lehenga,44723,0.0,89446,44723,110,219,1095000,12133,15106
2020,Kurta,32943,0.0,65886,32943,129,181,905000,12578,13203
2021,Dupatta,0,16679.0,81310,81310,47,293,1465000,43581,23207
2020,Shirt,56784,0.0,113568,56784,82,219,1095000,16551,12682
2020,Saree,40455,0.0,80910,40455,116,260,1300000,44395,17922
2021,Shirt,91448,0.0,182896,91448,74,204,1020000,46360,23265
2023,Pants,49974,0.0,99948,49974,122,181,905000,12580,12137
2023,Kurta,47371,0.0,94742,47371,149,191,955000,13932,21767
2023,Kurta,23936,0.0,47872,23936,61,262,1310000,18487,29190
2023,Dupatta,53166,0.0,106332,53166,119,264,1320000,17113,20119
2023,Lehenga,45727,0.0,91454,45727,118,139,695000,46019,14850
2021,Dupatta,0,43705.0,76964,76964,105,235,1175000,27538,24787
2021,Shirt,0,21722.0,55925,55925,141,153,765000,38556,11957
2022,Pants,88531,0.0,177062,88531,60,188,940000,47895,19685
2023,Saree,59097,0.0,118194,59097,133,234,1170000,10887,10931
2021,Dupatta,54984,0.0,109968,54984,110,101,505000,29656,10047
2022,Lehenga,0,30509.0,81122,81122,134,196,980000,28816,28654
2023,Dupatta,64291,0.0,128582,64291,80,155,775000,46365,15767
2020,Kurta,85228,0.0,170456,85228,80,203,1015000,34395,20952
2022,Shirt,42150,0.0,84300,42150,88,223,1115000,15525,14561
2021,Shirt,42061,0.0,84122,42061,138,284,1420000,40718,24306
2020,Shirt,49178,0.0,98356,49178,43,276,1380000,31002,23591
2020,Shirt,76790,0.0,153580,76790,137,296,1480000,35410,25680
2020,Shirt,85696,0.0,171392,85696,104,224,1120000,13480,10678
2022,Shirt,35648,0.0,71296,35648,49,177,885000,30990,22137
2021,Saree,81779,0.0,163558,81779,133,107,535000,41577,24286
2020,Lehenga,56672,0.0,113344,56672,135,183,915000,29056,27974
2023,Shirt,89109,0.0,178218,89109,106,290,1450000,14032,25436
2020,Lehenga,80521,0.0,161042,80521,49,181,905000,32377,12518
2020,Pants,54593,0.0,109186,54593,112,298,1490000,36277,27950
2022,Shirt,33786,0.0,67572,33786,56,187,935000,17425,23412
2022,Dupatta,29815,0.0,59630,29815,106,273,1365000,40773,27951
2021,Shirt,0,23989.0,89199,89199,130,166,830000,22892,21526
2023,Kurta,0,33562.0,83756,83756,92,216,1080000,30230,10205
2022,Saree,0,24919.0,74789,74789,74,273,1365000,30400,11805
2020,Dupatta,41302,0.0,82604,41302,43,177,885000,26679,12120
2021,Dupatta,0,21036.0,66915,66915,107,166,830000,26309,20821
2020,Kurta,47835,0.0,95670,47835,135,141,705000,14483,27821
2020,Shirt,0,34438.0,52917,52917,141,163,815000,41850,24991
2022,Saree,69282,0.0,138564,69282,50,227,1135000,24113,11942
2021,Dupatta,0,30999.0,56885,56885,83,172,860000,44264,20997
2023,Saree,87035,0.0,174070,87035,99,280,1400000,27951,12827
2023,Dupatta,43814,0.0,87628,43814,142,298,1490000,32417,17380
2022,Shirt,44089,0.0,88178,44089,148,189,945000,41911,21093
2022,Pants,93162,0.0,186324,93162,109,106,530000,31834,18555
2021,Dupatta,75831,0.0,151662,75831,101,106,530000,11975,14495
2023,Pants,52746,0.0,105492,52746,138,221,1105000,14132,29281
2023,Dupatta,0,11708.0,86387,86387,149,263,1315000,17398,10259
2023,Lehenga,56476,0.0,112952,56476,71,215,1075000,14278,17929
2020,Shirt,46283,0.0,92566,46283,85,112,560000,17925,27452
2023,Kurta,0,16377.0,60410,60410,62,294,1470000,23833,22126
2020,Pants,0,32788.0,79209,79209,145,119,595000,14165,14993
2021,Kurta,66994,0.0,133988,66994,76,152,760000,26847,26221
2020,Shirt,82898,0.0,165796,82898,129,185,925000,42472,17707
2021,Kurta,35634,0.0,71268,35634,137,279,1395000,43697,17496
2023,Shirt,30965,0.0,61930,30965,141,196,980000,17918,16458
2023,Kurta,47566,0.0,95132,47566,114,160,800000,13911,27826
2021,Pants,72196,0.0,144392,72196,97,224,1120000,32928,10228
2022,Lehenga,0,24269.0,63574,63574,124,201,1005000,14412,14845
2021,Kurta,75499,0.0,150998,75499,82,215,1075000,43485,11970
2022,Pants,39420,0.0,78840,39420,127,189,945000,16365,17952
2020,Dupatta,0,39717.0,81521,81521,54,195,975000,27041,22413
2020,Shirt,26218,0.0,52436,26218,106,160,800000,11212,14227
2020,Saree,69892,0.0,139784,69892,41,155,775000,38397,28109
2023,Saree,0,32605.0,79061,79061,110,193,965000,16435,19808
2020,Shirt,84057,0.0,168114,84057,44,139,695000,38628,20089
2022,Lehenga,98609,0.0,197218,98609,92,180,900000,10757,26071
2020,Kurta,96907,0.0,193814,96907,84,162,810000,49670,20323
2021,Lehenga,31226,0.0,62452,31226,143,284,1420000,15536,28866
2021,Saree,72271,0.0,144542,72271,132,231,1155000,24271,15285
2023,Pants,0,31221.0,89332,89332,80,253,1265000,40757,27834
2021,Shirt,57117,0.0,114234,57117,102,194,970000,15572,16191
2022,Shirt,0,41757.0,80805,80805,135,161,805000,35806,15941
2020,Lehenga,79478,0.0,158956,79478,133,281,1405000,37549,27639
2023,Pants,98872,0.0,197744,98872,111,289,1445000,37834,10400
2020,Lehenga,77277,0.0,154554,77277,71,245,1225000,36588,24002
2020,Kurta,79613,0.0,159226,79613,145,109,545000,15125,15639
2022,Dupatta,37373,0.0,74746,37373,41,135,675000,47861,20174
2021,Pants,65452,0.0,130904,65452,49,229,1145000,31976,23679
2021,Dupatta,70089,0.0,140178,70089,82,159,795000,40299,25981
2020,Kurta,26654,0.0,53308,26654,82,274,1370000,24848,20167
2023,Dupatta,51280,0.0,102560,51280,140,172,860000,41501,21845
2021,Saree,76141,0.0,152282,76141,149,259,1295000,10082,13464
2023,Dupatta,87894,0.0,175788,87894,106,296,1480000,17966,28798
2021,Kurta,46583,0.0,93166,46583,62,278,1390000,30146,21374
2023,Dupatta,26360,0.0,52720,26360,137,166,830000,41054,11087
2022,Shirt,73968,0.0,147936,73968,121,180,900000,27042,13874
2023,Lehenga,23743,0.0,47486,23743,136,176,880000,32629,20739
2022,Saree,0,28069.0,85828,85828,136,294,1470000,23599,29544
2022,Shirt,52151,0.0,104302,52151,99,167,835000,21064,16499
2023,Shirt,20518,0.0,41036,20518,120,181,905000,33524,19584
2022,Kurta,36652,0.0,73304,36652,45,155,775000,24895,19707
2020,Lehenga,98461,0.0,196922,98461,52,198,990000,40586,12693
2022,Lehenga,91011,0.0,182022,91011,60,113,565000,40248,12903
2021,Pants,62348,0.0,124696,62348,134,243,1215000,21416,16051
2023,Saree,95422,0.0,190844,95422,97,175,875000,39614,24353
2020,Kurta,0,34324.0,64826,64826,124,174,870000,18885,22655
2023,Saree,0,38734.0,97999,97999,136,165,825000,14327,10220
2021,Pants,44395,0.0,88790,44395,67,132,660000,29640,16416
2021,Dupatta,22335,0.0,44670,22335,109,112,560000,36428,13012
2021,Shirt,90112,0.0,180224,90112,47,129,645000,39059,17544
2022,Saree,20500,0.0,41000,20500,116,125,625000,20871,15366
2022,Shirt,28083,0.0,56166,28083,137,213,1065000,10863,25749
2023,Kurta,25543,0.0,51086,25543,97,112,560000,35625,14268
2023,Dupatta,88812,0.0,177624,88812,79,167,835000,17361,27019
2020,Kurta,72237,0.0,144474,72237,125,222,1110000,39208,21055
2020,Dupatta,26613,0.0,53226,26613,40,132,660000,14806,12737
2023,Dupatta,86863,0.0,173726,86863,116,242,1210000,15383,23623
2022,Shirt,60540,0.0,121080,60540,104,244,1220000,19686,12696
2021,Kurta,96202,0.0,192404,96202,49,105,525000,45104,19691
2023,Kurta,46255,0.0,92510,46255,99,104,520000,26751,21453
2020,Saree,42068,0.0,84136,42068,108,260,1300000,26795,11656
2022,Kurta,69057,0.0,138114,69057,59,153,765000,26737,29742
2023,Saree,38946,0.0,77892,38946,101,243,1215000,41139,16464
2023,Lehenga,40547,0.0,81094,40547,52,273,1365000,27722,11896
2022,Lehenga,25769,0.0,51538,25769,97,251,1255000,26712,12108
2023,Lehenga,44883,0.0,89766,44883,76,224,1120000,33400,19353
2022,Pants,0,29590.0,80779,80779,49,104,520000,21021,10125
2021,Kurta,99199,0.0,198398,99199,42,294,1470000,11486,13775
2022,Pants,55162,0.0,110324,55162,73,224,1120000,17607,21477
2022,Kurta,53434,0.0,106868,53434,73,175,875000,42740,28624
2022,Saree,42102,0.0,84204,42102,69,149,745000,30119,26972
2023,Pants,41536,0.0,83072,41536,76,268,1340000,27121,29478
2023,Pants,97891,0.0,195782,97891,107,282,1410000,15367,16526
2022,Pants,87770,0.0,175540,87770,73,180,900000,13888,13227
2023,Dupatta,0,38828.0,85292,85292,71,212,1060000,49660,19308
2020,Saree,0,33096.0,62607,62607,124,119,595000,47611,19017
2020,Lehenga,51147,0.0,102294,51147,97,277,1385000,36370,28087
2023,Saree,70526,0.0,141052,70526,144,224,1120000,35878,25786
2023,Dupatta,43659,0.0,87318,43659,63,134,670000,49059,22135
2022,Kurta,43088,0.0,86176,43088,48,277,1385000,12668,27889
2021,Saree,88464,0.0,176928,88464,80,260,1300000,14238,17032
2023,Pants,79998,0.0,159996,79998,63,166,830000,14166,28628
2020,Lehenga,60382,0.0,120764,60382,64,298,1490000,24240,20430
2022,Lehenga,48184,0.0,96368,48184,75,237,1185000,41030,29519
2023,Kurta,40099,0.0,80198,40099,47,140,700000,10637,16085
2020,Saree,89810,0.0,179620,89810,144,267,1335000,30946,24986
2020,Dupatta,57739,0.0,115478,57739,132,233,1165000,12641,22781
2021,Kurta,28389,0.0,56778,28389,128,260,1300000,21138,24998
2022,Saree,37352,0.0,74704,37352,98,115,575000,18962,24595
2022,Shirt,0,39448.0,99841,99841,74,123,615000,41075,17942
2021,Lehenga,51828,0.0,103656,51828,77,159,795000,39839,26560
2021,Dupatta,88040,0.0,176080,88040,131,220,1100000,15802,27552
2022,Pants,76795,0.0,153590,76795,122,173,865000,17638,26970
2022,Dupatta,78620,0.0,157240,78620,71,238,1190000,46478,26438
2023,Pants,77114,0.0,154228,77114,140,271,1355000,36229,16777
2023,Dupatta,60711,0.0,121422,60711,90,102,510000,29621,18327
2021,Lehenga,37748,0.0,75496,37748,67,265,1325000,32900,15142
2023,Pants,53691,0.0,107382,53691,95,267,1335000,15989,18729
2020,Saree,85282,0.0,170564,85282,138,219,1095000,16507,20401
2023,Pants,80360,0.0,160720,80360,47,118,590000,15165,17927
2023,Kurta,30246,0.0,60492,30246,80,139,695000,13706,28591
2020,Saree,79395,0.0,158790,79395,62,152,760000,41965,12565
2021,Kurta,52486,0.0,104972,52486,93,263,1315000,40611,28112
2020,Dupatta,50340,0.0,100680,50340,143,166,830000,14114,25025
2023,Saree,70300,0.0,140600,70300,149,185,925000,12317,10707
2021,Dupatta,0,21450.0,95712,95712,62,188,940000,47440,27624
2023,Shirt,34860,0.0,69720,34860,71,247,1235000,38378,14359
2020,Dupatta,37013,0.0,74026,37013,49,255,1275000,24323,27959
2020,Dupatta,27407,0.0,54814,27407,120,284,1420000,35244,29373
2023,Kurta,0,40575.0,95883,95883,74,230,1150000,24750,22749
2022,Pants,44935,0.0,89870,44935,138,185,925000,13814,16143
2022,Shirt,69079,0.0,138158,69079,102,207,1035000,30403,22601
2020,Dupatta,54111,0.0,108222,54111,106,264,1320000,47483,22418
2020,Dupatta,0,41592.0,51100,51100,75,220,1100000,49414,16222
2022,Shirt,95697,0.0,191394,95697,132,245,1225000,38433,10568
2022,Shirt,96955,0.0,193910,96955,88,183,915000,20091,27826
2023,Saree,60565,0.0,121130,60565,85,145,725000,39673,10946
2023,Kurta,39283,0.0,78566,39283,66,104,520000,28615,22236
2022,Shirt,86470,0.0,172940,86470,70,206,1030000,18632,18243
2023,Shirt,99552,0.0,199104,99552,73,222,1110000,26964,23231
2023,Lehenga,58233,0.0,116466,58233,115,172,860000,43143,21851
2021,Pants,42695,0.0,85390,42695,140,180,900000,32465,25974
2023,Shirt,62734,0.0,125468,62734,98,156,780000,48345,23815
2020,Kurta,21505,0.0,43010,21505,93,253,1265000,13801,22426
2023,Pants,25363,0.0,50726,25363,128,132,660000,25447,25957
